idx,t,px,py,pz,vx,vy,vz,ax,ay,az,yaw,mode,ledr,ledg,ledb
1351,110.1,-30.507258195063393,-39.614482167759526,-15,2.765612581199938,-2.1298084050395145,0,0.1486886764183541,0.19307618150607175,0,0,70,nan,nan,nan
1352,110.2,-30.22995574311873,-39.826495901209825,-15,2.780413932032551,-2.110449041798364,0,0.14733713789976352,0.1941095107291594,0,0,70,nan,nan,nan
1353,110.30000000000001,-29.951179925779265,-40.036568547436694,-15,2.795079769412695,-2.090986818248316,0,0.14597841837693346,0.19513337932854172,0,0,70,nan,nan,nan
1354,110.4,-29.670944330185062,-40.244689867795714,-15,2.8096093785481466,-2.0714226829506917,0,0.1446125840719367,0.1961477374023076,0,0,70,nan,nan,nan
1355,110.5,-29.38926261462366,-40.450849718747364,-15,2.824002051286255,-2.051757589433841,0,0.14323970155361018,0.19715253551207568,0,0,70,nan,nan,nan
1356,110.6,-29.10614850786446,-40.65503805235139,-15,2.8382570861484577,-2.031992496146678,0,0.14185983773431088,0.19814772468540373,0,0,70,nan,nan,nan
1357,110.7,-28.82161580848967,-40.85724491675642,-15,2.852373788364464,-2.012128366411969,0,0.14047305986665495,0.1991332564181753,0,0,70,nan,nan,nan
1358,110.80000000000001,-28.53567838422157,-41.05746045668521,-15,2.8663514699061263,-1.9921661683793677,0,0.13907943554023885,0.20010908267696426,0,0,70,nan,nan,nan
1359,110.9,-28.2483501712469,-41.25567491391475,-15,2.8801894495209623,-1.9721068749782498,0,0.13767903267834652,0.20107515590137526,0,0,70,nan,nan,nan
1360,111.0,-27.95964517353736,-41.45187862775207,-15,2.8938870527653706,-1.951951463870273,0,0.13627191953463763,0.20203142900636234,0,0,70,nan,nan,nan
1361,111.1,-27.66957746216721,-41.64606203550497,-15,2.907443612037493,-1.9317009174017383,0,0.13485816468982142,0.20297785538452356,0,0,70,nan,nan,nan
1362,111.2,-27.378161174627536,-41.83821567294807,-15,2.9208584666097552,-1.9113562225557148,0,0.13343783704831494,0.20391438890837235,0,0,70,nan,nan,nan
1363,111.30000000000001,-27.085410514137,-42.02833017478421,-15,2.9341309626610728,-1.890918370903923,0,0.1320110058348832,0.20484098393258612,0,0,70,nan,nan,nan
1364,111.4,-26.791339748949817,-42.21639627510076,-15,2.947260453308713,-1.8703883585584211,0,0.13057774059126684,0.20575759529623056,0,0,70,nan,nan,nan
1365,111.5,-26.49596321166025,-42.4024048078213,-15,2.9602462986398206,-1.8497671861230502,0,0.12913811117279195,0.2066641783249608,0,0,70,nan,nan,nan
1366,111.6,-26.199295298503937,-42.58634670715239,-15,2.973087865742618,-1.829055858644657,0,0.12769218774496502,0.20756068883319925,0,0,70,nan,nan,nan
1367,111.7,-25.901350468656513,-42.76821300802533,-15,2.98578452873724,-1.80825538556413,0,0.12624004078005444,0.20844708312628835,0,0,70,nan,nan,nan
1368,111.80000000000001,-25.60214324352856,-42.947994846533234,-15,2.998335668806247,-1.7873667806671751,0,0.12478174105365414,0.20932331800262097,0,0,70,nan,nan,nan
1369,111.9,-25.301688206058152,-43.12568346036289,-15,3.0107406742247758,-1.766391062034929,0,0.12331735964123568,0.21018935075574527,0,0,70,nan,nan,nan
1370,112.0,-25.00000000000002,-43.30127018922192,-15,3.022998940390362,-1.7453292519943309,0,0.12184696791468354,0.21104513917644643,0,0,70,nan,nan,nan
1371,112.1,-24.69709332921155,-43.47474647526095,-15,3.035109869852412,-1.7241823770682778,0,0.12037063753881529,0.2118906415548047,0,0,70,nan,nan,nan
1372,112.2,-24.392982956936613,-43.646103863490495,-15,3.047072872341307,-1.7029514679256244,0,0.11888844046789102,0.21272581668222668,0,0,70,nan,nan,nan
1373,112.30000000000001,-24.087683705085762,-43.81533400219318,-15,3.0588873647971817,-1.6816375593309334,0,0.11740044894210512,0.21355062385345483,0,0,70,nan,nan,nan
1374,112.4,-23.78121045351374,-43.982428643330834,-15,3.0705527713983427,-1.6602416900940347,0,0.11590673548406492,0.2143650228685514,0,0,70,nan,nan,nan
1375,112.5,-23.47357813929454,-44.14737964294635,-15,3.0820685235893297,-1.6387649030194151,0,0.11440737289525743,0.21516897403485727,0,0,70,nan,nan,nan
1376,112.6,-23.164801755993107,-44.31017896156072,-15,3.0934340601086263,-1.6172082448553753,0,0.11290243425249978,0.2159624381689268,0,0,70,nan,nan,nan
1377,112.7,-22.854896352934706,-44.470818664564874,-15,3.104648827016019,-1.5955727662430184,0,0.11139199290437803,0.21674537659843765,0,0,70,nan,nan,nan
1378,112.80000000000001,-22.543877034471553,-44.629290922606266,-15,3.1157122777195885,-1.573859521665055,0,0.10987612246767296,0.21751775116407512,0,0,70,nan,nan,nan
1379,112.9,-22.23175895924637,-44.785588011970646,-15,3.1266238730023574,-1.5520695693943882,0,0.10835489682377074,0.21827952422139274,0,0,70,nan,nan,nan
