idx,t,px,py,pz,vx,vy,vz,ax,ay,az,yaw,mode,ledr,ledg,ledb
1830,173.32842712474618,22.500000000000004,-11.650635094610966,-20,1.133624602646386,0.6544984694978737,0,-0.034269459726004724,0.059356445393375576,0,0,70,nan,nan,nan
1831,173.42842712474618,22.613190595375478,-11.584888765169293,-20,1.1301821328868118,0.6604251152126577,0,-0.034579778169971306,0.05917619809826086,0,0,70,nan,nan,nan
1832,173.5284271247462,22.726035393759272,-11.518550675098599,-20,1.1267086786131573,0.666333655039297,0,-0.034889148591851514,0.058994328457782644,0,0,70,nan,nan,nan
1833,173.6284271247462,22.838531301454253,-11.451622643091113,-20,1.123204335051925,0.6722239269921881,0,-0.03519756251009899,0.058810841457988934,0,0,70,nan,nan,nan
1834,173.7284271247462,22.95067523432827,-11.38410650401266,-20,1.1196691982764648,0.6780957695865494,0,-0.03550501146939034,0.05862574212926859,0,0,70,nan,nan,nan
1835,173.82842712474618,23.062464117898728,-11.316004108852301,-20,1.1161033652043373,0.6839490218428487,0,-0.03581148704085697,0.0584390355462132,0,0,70,nan,nan,nan
1836,173.92842712474618,23.173894887416957,-11.247317324671588,-20,1.1125069335946565,0.6897835232912207,0,-0.03611698082231638,0.05825072682747802,0,0,70,nan,nan,nan
1837,174.0284271247462,23.284964487952063,-11.178048034553434,-20,1.1088800020454137,0.6955991139758582,0,-0.03642148443850209,0.05806082113564178,0,0,70,nan,nan,nan
1838,174.1284271247462,23.39566987447492,-11.108198137550374,-20,1.1052226699907668,0.7013956344594086,0,-0.036724989541293836,0.05786932367706483,0,0,70,nan,nan,nan
1839,174.2284271247462,23.506008011941372,-11.037769548632657,-20,1.1015350376983235,0.7071729258273316,0,-0.03702748780994575,0.05767623970174682,0,0,70,nan,nan,nan
1840,174.32842712474618,23.615975875375668,-10.966764198635605,-20,1.0978172062663851,0.7129308296922674,0,-0.03732897095131506,0.057481574503182434,0,0,70,nan,nan,nan
1841,174.42842712474618,23.725570449953317,-10.895184034206743,-20,1.0940692776211773,0.7186691881983748,0,-0.03762943070008925,0.05728533341821637,0,0,70,nan,nan,nan
1842,174.5284271247462,23.834788731083613,-10.823031017752477,-20,1.0902913545140598,0.7243878440256523,0,-0.0379288588190123,0.05708752182689724,0,0,70,nan,nan,nan
1843,174.6284271247462,23.94362772449226,-10.750307127384183,-20,1.086483540518701,0.7300866403942642,0,-0.038227247099111225,0.056888145152329664,0,0,70,nan,nan,nan
1844,174.7284271247462,24.052084446303265,-10.677014356864046,-20,1.0826459400282462,0.7357654210688289,0,-0.038524587359920565,0.056687208860525896,0,0,70,nan,nan,nan
1845,174.82842712474618,24.16015592312081,-10.603154715550396,-20,1.0787786582524503,0.7414240303627058,0,-0.03882087144970687,0.05648471846025587,0,0,70,nan,nan,nan
1846,174.92842712474618,24.267839192110795,-10.5287302283426,-20,1.0748818012147972,0.7470623131422635,0,-0.03911609124569221,0.05628067950289618,0,0,70,nan,nan,nan
1847,175.0284271247462,24.37513130108196,-10.453742935625588,-20,1.0709554757495914,0.7526801148311295,0,-0.03941023865427665,0.05607509758227796,0,0,70,nan,nan,nan
1848,175.1284271247462,24.48202930856698,-10.378194893213848,-20,1.0669997894990277,0.7582772814144348,0,-0.03970330561126048,0.05586797833453336,0,0,70,nan,nan,nan
1849,175.2284271247462,24.58853028390294,-10.302088172295154,-20,1.0630148509102448,0.7638536594430282,0,-0.03999528408206495,0.05565932743794124,0,0,70,nan,nan,nan
1850,175.32842712474618,24.694631307311823,-10.225424859373689,-20,1.059000769232346,0.76940909603769,0,-0.040286166061952844,0.055449150612771295,0,0,70,nan,nan,nan
1851,175.42842712474618,24.800329469980497,-10.14820705621289,-20,1.0549576545134074,0.7749434388933206,0,-0.04057594357624778,0.05523745362112733,0,0,70,nan,nan,nan
1852,175.5284271247462,24.905621874140394,-10.070436879777862,-20,1.050885617597463,0.7804565362831132,0,-0.04086460868055274,0.055024242266789376,0,0,70,nan,nan,nan
1853,175.6284271247462,25.010505633147094,-9.992116462177268,-20,1.0467847701214612,0.7859482370627187,0,-0.0411521534609681,0.054809522395054384,0,0,70,nan,nan,nan
1854,175.7284271247462,25.11497787155936,-9.91324795060492,-20,1.042655224512207,0.7914183906743861,0,-0.04143857003430848,0.054593299892576094,0,0,70,nan,nan,nan
1855,175.82842712474618,25.219035725218014,-9.833833507280879,-20,1.0384970939832783,0.796866847151092,0,-0.04172385054831885,0.0543755806872036,0,0,70,nan,nan,nan
1856,175.92842712474618,25.322676341324424,-9.753875309392253,-20,1.034310492531925,0.8022934571206489,0,-0.042007987181889805,0.05415637074781894,0,0,70,nan,nan,nan
1857,176.0284271247462,25.42589687851872,-9.67337554903343,-20,1.0300955349359415,0.8076980718098021,0,-0.04229097214527193,0.05393567608417336,0,0,70,nan,nan,nan
1858,176.1284271247462,25.528694506957773,-9.59233643314598,-20,1.0258523367505177,0.8130805430483119,0,-0.042572797680289605,0.053713502746722486,0,0,70,nan,nan,nan
1859,176.2284271247462,25.63106640839262,-9.510760183458249,-20,1.021581014305078,0.8184407232730073,0,-0.04285345606055328,0.05348985682646071,0,0,70,nan,nan,nan
1860,176.32842712474618,25.733009776245922,-9.428649036424282,-20,1.0172816847000823,0.8237784655318431,0,-0.043132939591671846,0.053264744454753786,0,0,70,nan,nan,nan
1861,176.42842712474618,25.834521815688767,-9.346005243162644,-20,1.012954465803823,0.8290936234879192,0,-0.04341124061146315,0.05303817180317106,0,0,70,nan,nan,nan
1862,176.5284271247462,25.935599743717248,-9.262831069394725,-20,1.0085994762491948,0.8343860514234916,0,-0.04368835149016395,0.052810145083316384,0,0,70,nan,nan,nan
1863,176.6284271247462,26.036240789228966,-9.179128795382475,-20,1.0042168354304342,0.8396556042439784,0,-0.04396426463063969,0.05258067054665737,0,0,70,nan,nan,nan
1864,176.7284271247462,26.136442193098773,-9.094900715866046,-20,0.9998066634998541,0.8449021374819246,0,-0.04423897246859213,0.0523497544843544,0,0,70,nan,nan,nan
1865,176.82842712474618,26.236201208254577,-9.010149140000784,-20,0.9953690813645465,0.8501255073009717,0,-0.044512467472767145,0.05211740322708801,0,0,70,nan,nan,nan
1866,176.92842712474618,26.335515099752634,-8.924876391293914,-20,0.9909042106830646,0.8553255704998002,0,-0.044784742145161184,0.05188362314488514,0,0,70,nan,nan,nan
1867,177.0284271247462,26.434381144852388,-8.839084807540953,-20,0.9864121738620957,0.8605021845160479,0,-0.045055789021226415,0.051648420646944956,0,0,70,nan,nan,nan
1868,177.1284271247462,26.532796633091316,-8.752776740761469,-20,0.9818930940530962,0.8656552074302291,0,-0.04532560067007593,0.05141180218146265,0,0,70,nan,nan,nan
1869,177.2284271247462,26.630758866359034,-8.665954557134771,-20,0.9773470951489253,0.8707844979696143,0,-0.045594169694686944,0.051173774235453134,0,0,70,nan,nan,nan
1870,177.32842712474618,26.72826515897146,-8.57862063693485,-20,0.9727743017804376,0.8758899155121138,0,-0.04586148873210403,0.05093434333457271,0,0,70,nan,nan,nan
