idx,t,px,py,pz,vx,vy,vz,ax,ay,az,yaw,mode,ledr,ledg,ledb
702,66.2,13.010764773832474,14.14213562373095,-15,0.6285393610547089,0,0,0,0.027714806242541565,0,0,70,nan,nan,nan
703,66.30000000000001,13.073618709937943,14.14213562373095,-15,0.6285393610547089,0,0,0,0.027738573600650983,0,0,70,nan,nan,nan
704,66.4,13.136472646043416,14.14213562373095,-15,0.6285393610547089,0,0,0,0.027760989019816395,0,0,70,nan,nan,nan
705,66.5,13.199326582148887,14.14213562373095,-15,0.6285393610547089,0,0,0,0.02778205140754189,0,0,70,nan,nan,nan
706,66.6,13.262180518254358,14.14213562373095,-15,0.6285393610547089,0,0,0,0.027801759737276416,0,0,70,nan,nan,nan
707,66.7,13.325034454359827,14.14213562373095,-15,0.6285393610547089,0,0,0,0.02782011304846378,0,0,70,nan,nan,nan
708,66.80000000000001,13.387888390465298,14.14213562373095,-15,0.6285393610547089,0,0,0,0.027837110446589486,0,0,70,nan,nan,nan
709,66.9,13.45074232657077,14.14213562373095,-15,0.6285393610547089,0,0,0,0.02785275110322433,0,0,70,nan,nan,nan
710,67.0,13.513596262676241,14.14213562373095,-15,0.6285393610547089,0,0,0,0.027867034256064772,0,0,70,nan,nan,nan
711,67.1,13.57645019878171,14.14213562373095,-15,0.6285393610547089,0,0,0,0.0278799592089701,0,0,70,nan,nan,nan
712,67.2,13.639304134887182,14.14213562373095,-15,0.6285393610547089,0,0,0,0.02789152533199634,0,0,70,nan,nan,nan
713,67.30000000000001,13.702158070992652,14.14213562373095,-15,0.6285393610547089,0,0,0,0.027901732061426966,0,0,70,nan,nan,nan
714,67.4,13.765012007098125,14.14213562373095,-15,0.6285393610547089,0,0,0,0.027910578899800396,0,0,70,nan,nan,nan
715,67.5,13.827865943203594,14.14213562373095,-15,0.6285393610547089,0,0,0,0.027918065415934203,0,0,70,nan,nan,nan
716,67.6,13.890719879309065,14.14213562373095,-15,0.6285393610547089,0,0,0,0.02792419124494615,0,0,70,nan,nan,nan
717,67.7,13.953573815414536,14.14213562373095,-15,0.6285393610547089,0,0,0,0.02792895608827198,0,0,70,nan,nan,nan
718,67.80000000000001,14.016427751520009,14.14213562373095,-15,0.6285393610547089,0,0,0,0.027932359713679945,0,0,70,nan,nan,nan
719,67.9,14.079281687625478,14.14213562373095,-15,0.6285393610547089,0,0,0,0.02793440195528215,0,0,70,nan,nan,nan
720,68.0,14.14213562373095,14.14213562373095,-15,0,0.6285393610547089,0,3.4210609629056525e-18,0,0,0,70,nan,nan,nan
721,68.1,14.14213562373095,14.079281687625478,-15,0,0.6285393610547089,0,-0.000195022083868324,0,0,0,70,nan,nan,nan
722,68.2,14.14213562373095,14.016427751520009,-15,0,0.6285393610547089,0,-0.0003900346626354188,0,0,0,70,nan,nan,nan
723,68.30000000000001,14.14213562373095,13.953573815414536,-15,0,0.6285393610547089,0,-0.000585028231663326,0,0,0,70,nan,nan,nan
724,68.4,14.14213562373095,13.890719879309065,-15,0,0.6285393610547089,0,-0.0007799932872405488,0,0,0,70,nan,nan,nan
725,68.5,14.14213562373095,13.827865943203594,-15,0,0.6285393610547089,0,-0.0009749203270453705,0,0,0,70,nan,nan,nan
726,68.6,14.14213562373095,13.765012007098125,-15,0,0.6285393610547089,0,-0.0011697998506088718,0,0,0,70,nan,nan,nan
727,68.7,14.14213562373095,13.702158070992652,-15,0,0.6285393610547089,0,-0.0013646223597779709,0,0,0,70,nan,nan,nan
728,68.80000000000001,14.14213562373095,13.639304134887182,-15,0,0.6285393610547089,0,-0.0015593783591784742,0,0,0,70,nan,nan,nan
729,68.9,14.14213562373095,13.57645019878171,-15,0,0.6285393610547089,0,-0.0017540583566776813,0,0,0,70,nan,nan,nan
730,69.0,14.14213562373095,13.513596262676241,-15,0,0.6285393610547089,0,-0.001948652863847191,0,0,0,70,nan,nan,nan
731,69.1,14.14213562373095,13.45074232657077,-15,0,0.6285393610547089,0,-0.0021431523964252812,0,0,0,70,nan,nan,nan
732,69.2,14.14213562373095,13.387888390465298,-15,0,0.6285393610547089,0,-0.002337547474779094,0,0,0,70,nan,nan,nan
733,69.30000000000001,14.14213562373095,13.325034454359827,-15,0,0.6285393610547089,0,-0.0025318286243667734,0,0,0,70,nan,nan,nan
734,69.4,14.14213562373095,13.262180518254358,-15,0,0.6285393610547089,0,-0.0027259863761991913,0,0,0,70,nan,nan,nan
735,69.5,14.14213562373095,13.199326582148887,-15,0,0.6285393610547089,0,-0.0029200112673013895,0,0,0,70,nan,nan,nan
736,69.6,14.14213562373095,13.136472646043416,-15,0,0.6285393610547089,0,-0.0031138938411739777,0,0,0,70,nan,nan,nan
737,69.7,14.14213562373095,13.073618709937943,-15,0,0.6285393610547089,0,-0.003307624648253796,0,0,0,70,nan,nan,nan
738,69.80000000000001,14.14213562373095,13.010764773832474,-15,0,0.6285393610547089,0,-0.003501194246374596,0,0,0,70,nan,nan,nan
739,69.9,14.14213562373095,12.947910837727003,-15,0,0.6285393610547089,0,-0.0036945932012273012,0,0,0,70,nan,nan,nan
740,70.0,14.14213562373095,12.885056901621532,-15,0,0.6285393610547089,0,-0.003887812086819648,0,0,0,70,nan,nan,nan
741,70.1,14.14213562373095,12.82220296551606,-15,0,0.6285393610547089,0,-0.004080841485935767,0,0,0,70,nan,nan,nan
742,70.2,14.14213562373095,12.75934902941059,-15,0,0.6285393610547089,0,-0.004273671990595095,0,0,0,70,nan,nan,nan
743,70.30000000000001,14.14213562373095,12.696495093305119,-15,0,0.6285393610547089,0,-0.004466294202510841,0,0,0,70,nan,nan,nan
744,70.4,14.14213562373095,12.633641157199648,-15,0,0.6285393610547089,0,-0.004658698733548158,0,0,0,70,nan,nan,nan
745,70.5,14.14213562373095,12.570787221094177,-15,0,0.6285393610547089,0,-0.004850876206181647,0,0,0,70,nan,nan,nan
746,70.6,14.14213562373095,12.507933284988706,-15,0,0.6285393610547089,0,-0.005042817253952399,0,0,0,70,nan,nan,nan
747,70.7,14.14213562373095,12.445079348883235,-15,0,0.6285393610547089,0,-0.0052345125219245715,0,0,0,70,nan,nan,nan
748,70.80000000000001,14.14213562373095,12.382225412777764,-15,0,0.6285393610547089,0,-0.005425952667141221,0,0,0,70,nan,nan,nan
749,70.9,14.14213562373095,12.319371476672295,-15,0,0.6285393610547089,0,-0.005617128359079728,0,0,0,70,nan,nan,nan
750,71.0,14.14213562373095,12.256517540566824,-15,0,0.6285393610547089,0,-0.005808030280106599,0,0,0,70,nan,nan,nan
